Comment,Designator,Footprint,LCSC Part #
"10u","C1","C0805","C15850"
"10u","C2","C0805","C15850"
"10u","C3","C0805","C15850"
"10u","C4","C0805","C15850"
"10u","C5","C0805","C15850"
"10u","C6","C0805","C15850"
"10u","C7","C0805","C15850"
"10u","C8","C0805","C15850"
"10u","C9","C0805","C15850"
"10u","C10","C0805","C15850"
"100n","C11","C0603","C14663"
"10n","C12","C0603","C57112"
"10n","C13","C0603","C57112"
"100n","C14","C0603","C14663"
"1n","C15","C0603","C1588"
"1n","C16","C0603","C1588"
"1n","C17","C0603","C1588"
"1n","C18","C0603","C1588"
"1n","C19","C0603","C1588"
"1n","C20","C0603","C1588"
"100n","C21","C0603","C14663"
"1n","C22","C0603","C1588"
"1n","C23","C0603","C1588"
"1n","C24","C0603","C1588"
"1n","C25","C0603","C1588"
"1n","C26","C0603","C1588"
"1n","C28","C0603","C1588"
"PSM712-LF","D1","SOT-23","C32677"
"B5819W","D2","SOD-123","C8598"
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"B5819W","D5","SOD-123","C8598"
"B5819W","D6","SOD-123","C8598"
"B5819W","D7","SOD-123","C8598"
"B5819W","D8","SOD-123","C8598"
"B5819W","D9","SOD-123","C8598"
"SRV05-4-P-T7","D10","SOT23-6","C85364"
"SRV05-4-P-T7","D11","SOT23-6","C85364"
"SRV05-4-P-T7","D12","SOT23-6","C85364"
"12H1500D","F1","PAD-1206-PAD","C182446"
"12H1500D","F2","PAD-1206-PAD","C182446"
"12H1500D","F3","PAD-1206-PAD","C182446"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"LOGO","G3","LOGO",""
"RUSEFI_LOGO","G4","rusefi_logo",""
"rusefi_2x56_pin_conn","J1","rusefi_2x56_pin_connector",""
"USB_B_Mini","J2","USB-MINI-B-VERTICAL","C13453"
"Module:power_12and5V/0.2","M1","power_12and5V",""
"Module:vr-max9924/0.1","M2","vr-max9924",""
"Module:knock/0.2","M3","knock",""
"Module:mega-mcu100/0.2","M4","mega-mcu100",""
"Module:lin/0.1","M5","lin",""
"ISL9V3040D3S","Q1","DPAK","C462128"
"ISL9V3040D3S","Q2","DPAK","C462128"
"ISL9V3040D3S","Q3","DPAK","C462128"
"ISL9V3040D3S","Q4","DPAK","C462128"
"AO3400A","Q5","SOT-23"," C20917"
"AO3400A","Q6","SOT-23"," C20917"
"AO3400A","Q7","SOT-23"," C20917"
"AO3400A","Q8","SOT-23"," C20917"
"AO3400A","Q9","SOT-23"," C20917"
"AO3400A","Q10","SOT-23"," C20917"
"AO3400A","Q11","SOT-23"," C20917"
"AO3400A","Q12","SOT-23"," C20917"
"AO3400A","Q13","SOT-23"," C20917"
"Jumper-Pad-Pad","R1","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R2","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R3","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R5","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R6","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R7","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R8","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R9","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R10","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R11","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R12","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R13","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R14","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R15","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R16","PAD-0805-PAD","C17477"
"4.7k","R17","R0603","C23162"
"4.7k","R18","R0603","C23162"
"4.7k","R19","R0603","C23162"
"4.7k","R20","R0603","C23162"
"DNP","R21","R0603",""
"DNP","R22","R0603",""
"DNP","R23","R0603",""
"DNP","R24","R0603",""
"4.7k","R25","R0603","C23162"
"4.7k","R26","R0603","C23162"
"4.7k","R27","R0603","C23162"
"4.7k","R28","R0603","C23162"
"DNP","R29","R0603",""
"10k","R30","R0603","C25804"
"10k","R31","R0603","C25804"
"10k","R32","R0603","C25804"
"4.7k","R33","R0603","C23162"
"4.7k","R34","R0603","C23162"
"4.7k","R35","R0603","C23162"
"4.7k","R36","R0603","C23162"
"4.7k","R37","R0603","C23162"
"4.7k","R38","R0603","C23162"
"4.7k","R39","R0603","C23162"
"4.7k","R40","R0603","C23162"
"4.7k","R41","R0603","C23162"
"10k","R42","R0603","C25804"
"10k","R43","R0603","C25804"
"1k","R44","R_Array_Convex_4x0603","C20197"
"1k","R45","R_Array_Convex_4x0603","C20197"
"1k","R46","R_Array_Convex_4x0603","C20197"
"1k","R47","R_Array_Convex_4x0603","C20197"
"10k","R48","R0603","C25804"
"DNP","R49","R0603",""
"4.7k","R50","R0603","C23162"
"4.7k","R51","R0603","C23162"
"4.7k","R52","R0603","C23162"
"4.7k","R53","R0603","C23162"
"Jumper-Pad-Pad","R54","PAD-0805-PAD","C17477"
"TLE9201SG","U1","Infineon_PG-DSO-12-11","C112633"
"74HC14PW,118","U2","TSSOP14","C5606"
"VNLD5160","U4","SO8","C377942"
"VNLD5160","U5","SO8","C377942"
"74VHC163FT","U7","TSSOP-16_4.4x5mm_P0.65mm","C150161"
"VNLD5160","U10","SO8","C377942"
"VNLD5160","U11","SO8","C377942"
